varietal,title,excerpt,points,price,location,region
Cabernet Sauvignon,Jason-Stephens 2012 Reserve Cabernet Sauvignon (Central Coast),"A bit shy on the nose, this eventually shows red currants and ...",85,48,Central Coast,United States
Cabernet Sauvignon,La Merika 2013 Cabernet Sauvignon (Central Coast),"Grapeseed, cola, concentrated plum, graphite and a touch of tar funk show ...",85,15,Central Coast,United States
Cabernet Sauvignon,Luis Felipe Edwards 2013 Riscos de Puquillay Alto Cabernet Sauvignon (Colchagua Valley),"With a mix of graham cracker, coffee, herb and jammy, unfocused berry ...",85,17,Chile,Chile
Cabernet Sauvignon,Siegel 2013 Special Reserve Cabernet Sauvignon (Colchagua Valley),"Chunky, meaty, saucy plum and berry aromas are green and gritty. This ...",85,16,Chile,Chile
Cabernet Sauvignon,Jewelry Box 2013 Cabernet Sauvignon (Central Coast),"Perfectly poised for campgrounds and smoky barbecues, this boxed wine offers slight ...",84,20,Central Coast,United States
Cabernet Sauvignon,Kon Tiki 2014 Cabernet Sauvignon (Central Valley),Herbal cherry and cassis aromas feature a note of tobacco. This comes ...,84,13,Chile,Chile
Cabernet Sauvignon,Santa Ema 2014 Select Terroir Cabernet Sauvignon (Maipo Valley),"Cherry and cassis aromas are generic. This feels raw and choppy, with ...",84,10,Chile,Chile
Cabernet Sauvignon,Foyt Family 2011 No 77 Cabernet Sauvignon (Mount Veeder),"A fair amount of herbaceousness shows on the nose and palate, a ...",84,110,Napa,United States
Cabernet Sauvignon,Eponymous 2011 Spring Mountain District Cabernet Sauvignon (Spring Mountain),"Made by Robert Pepi, this wine reveals an elegance of dried herb ...",84,65,Napa,United States
Cabernet Sauvignon,Laely 2012 Cabernet Sauvignon (Napa Valley),"This is a pleasantly juicy, soft and approachable wine, made with value ...",84,35,Napa,United States
Cabernet Sauvignon,In Re 2011 You be the judge! Cabernet Sauvignon (Napa Valley),"This is a challenging mix of substantially puckering tannins and herbaceous notes, ...",84,65,Napa,United States
Cabernet Sauvignon,Eaglewood 2012 Cabernet Sauvignon (Rutherford),"This is a dull, tannic and robustly full bodied wine, brooding in ...",83,35,Napa,United States
Cabernet Sauvignon,V. Sattui 2011 Morisoli Vineyard Cabernet Sauvignon (Napa Valley),"Preponderant green, herbal aroma and flavor marks this wine. The mix of ...",83,65,Napa,United States
Cabernet Sauvignon,Bellacana 2012 Cabernet Sauvignon (Alexander Valley),"Green olive and a weedy back note make for a green, herbal ...",83,35,Sonoma,United States
Cabernet Sauvignon,Cucao 2013 Reserva Cabernet Sauvignon (Colchagua Valley),Aromas of sandalwood and Middle Eastern spices feed into a creamy palate ...,83,12,Chile,Chile
Cabernet Sauvignon,Experience 2012 Cabernet Sauvignon (Napa Valley),"Perfumed in cassis and chocolate, this wine starts out with soft layers ...",82,27,Napa,United States
Cabernet Sauvignon,Delectus 2012 French Wedding Cabernet Sauvignon (Knights Valley),This bitter wine is high-octane in puckering tannin and very ripe fruit. ...,81,85,Sonoma,United States
Cabernet Sauvignon,Kirkland Signature 2013 Signature Series Mountain Cuvee Cabernet Sauvignon (Napa Valley),"This wine has artificial, plastic-like aromas that mar its opening and make ...",80,19,Napa,United States
Cabernet Sauvignon,Diamond Creek 2012 Fortieth Anniversary Volcanic Hill Cabernet Sauvignon (Diamond Mountain District),An waft of leather saddle opens this release from an historic Diamond ...,94,200,Napa,United States
Cabernet Sauvignon,Leto 2012 The Hidden One Estate Grown Cabernet Sauvignon (St. Helena),"From a single vineyard source, this wine offers sinewy blackberry and black ...",94,65,Napa,United States
Cabernet Sauvignon,Diamond Creek 2012 Fortieth Anniversary Red Rock Terrace Cabernet Sauvignon (Diamond Mountain District),"Soft and smooth in crisp red fruit, this block-designation has a nutty ...",93,200,Napa,United States
